Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_6656,Firefox 84.0,Zestaw testów dla strony http://automationpractice.com/. Jest to przykładowy sklep na woocommerce stworzony na potrzeby testów automatycznych.,,2021-01-10 14:07:36,2021-01-10 14:09:41,"2m - 5,740s",PASSED
,,,,,,,
Test Cases/TC_6656 - Rejestracja/TC_6656 - Rejestracja nowego konta,Firefox 84.0,Celem testu jest sprawdznie czy tworzenie konta w systemie działa i tworzy konto.,,2021-01-10 14:07:36,2021-01-10 14:08:07,"30,488s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-10 14:07:37,2021-01-10 14:07:42,"5,136s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php?controller=authentication&back=my-account"")",Firefox 84.0,,,2021-01-10 14:07:42,2021-01-10 14:07:48,"6,174s",PASSED
"setText(findTestObject(""Page_Login - My Store/input_Email address_email_create""), email)",Firefox 84.0,,,2021-01-10 14:07:48,2021-01-10 14:07:48,"0,544s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Firefox 84.0,,,2021-01-10 14:07:48,2021-01-10 14:07:49,"0,487s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Mr._id_gender""))",Firefox 84.0,,,2021-01-10 14:07:49,2021-01-10 14:07:51,"2,463s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), name)",Firefox 84.0,,,2021-01-10 14:07:51,2021-01-10 14:07:52,"0,767s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), surname)",Firefox 84.0,,,2021-01-10 14:07:52,2021-01-10 14:07:53,"0,583s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Firefox 84.0,,,2021-01-10 14:07:53,2021-01-10 14:07:53,"0,466s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-12345678910111213141516171819202122_51e29d""), dayBorn, true)",Firefox 84.0,,,2021-01-10 14:07:53,2021-01-10 14:07:55,"1,555s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-JanuaryFebruaryMarchAprilMayJuneJul_702766""), monthBorn, true)",Firefox 84.0,,,2021-01-10 14:07:55,2021-01-10 14:07:56,"1,215s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-20202019201820172016201520142013201_ed0939""), yearBorn, true)",Firefox 84.0,,,2021-01-10 14:07:56,2021-01-10 14:07:58,"1,952s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), street)",Firefox 84.0,,,2021-01-10 14:07:58,2021-01-10 14:07:59,"0,943s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Firefox 84.0,,,2021-01-10 14:07:59,2021-01-10 14:07:59,"0,523s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), stateIndex, true)",Firefox 84.0,,,2021-01-10 14:07:59,2021-01-10 14:08:01,"1,575s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), postCode)",Firefox 84.0,,,2021-01-10 14:08:01,2021-01-10 14:08:01,"0,506s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), phone)",Firefox 84.0,,,2021-01-10 14:08:01,2021-01-10 14:08:02,"0,752s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:02,2021-01-10 14:08:05,"2,764s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-10 14:08:05,2021-01-10 14:08:07,"1,739s",PASSED
,,,,,,,
Test Cases/TC_6656 - Rejestracja/TC_6656 - Weryfikacja działania walidacji w formularzu rejestracji,Firefox 84.0,Sprawdzenie czy formularz do rejestracji konta prawidłowo waliduje brak wymaganych danych.,,2021-01-10 14:08:07,2021-01-10 14:08:57,"50,550s",PASSED
